Time [s],Pressure [mbar],N injection,Time opening [ms],Mass [g]
1618829314.84785,392.625,12315,5,88.191
1618829317.5484,392.4375,12342,5,88.397
1618829320.2469,392.25,12368,5,88.571
1618829322.93464,392.125,12395,5,88.714
1618829325.64027,391.9375,12422,5,88.896
1618829328.31958,391.75,12449,5,89.041
1618829330.9664,391.625,12474,5,89.294
1618829333.61339,391.4375,12501,5,89.441
1618829336.25286,391.25,12527,5,89.672
1618829338.89969,391.0625,12554,5,89.814
1618829341.55865,390.9375,12579,5,89.978
1618829344.26672,390.75,12606,5,90.143
1618829346.97139,390.5625,12633,5,90.353
1618829349.65155,390.375,12660,5,90.496
1618829352.35438,390.25,12686,5,90.724
1618829355.06754,390.0625,12713,5,90.892
1618829357.75599,389.9375,12740,5,91.1
1618829360.43865,389.75,12766,5,91.273
1618829363.15392,389.5625,12793,5,91.467
1618829365.8395,389.375,12820,5,91.641
1618829368.53285,389.1875,12847,5,91.785
1618829371.2482,389,12873,5,92.03
1618829373.92331,388.875,12900,5,92.17
1618829376.57964,388.6875,12926,5,92.339
1618829379.27498,388.5,12953,5,92.54
1618829381.97139,388.375,12979,5,92.71
1618829384.67626,388.1875,13006,5,92.912
1618829387.36826,388,13033,5,93.084
1618829390.06902,387.8125,13060,5,93.221
1618829392.75746,387.6875,13086,5,93.48
1618829395.46781,387.5,13113,5,93.62
1618829398.16793,387.3125,13140,5,93.847
1618829403.48531,387,13193,5,94.151
1618829406.13391,386.75,13219,5,94.29
1618829411.42606,386.4375,13271,5,94.677
1618829414.07361,386.25,13297,5,94.855
1618829416.72068,386.1875,13324,5,95.093
1618829419.3702,385.9375,13350,5,95.261
1618829422.01771,385.8125,13376,5,95.398
1618829424.67016,385.625,13402,5,95.555
1618829427.38018,385.5,13429,5,95.777
1618829430.04363,385.3125,13456,5,95.92
1618829432.70312,385.125,13482,5,96.128
1618829435.34903,384.9375,13508,5,96.304
1618829437.99928,384.75,13535,5,96.492
1618829440.64041,384.5625,13561,5,96.726
1618829445.92773,384.25,13613,5,97.034
1618829448.58374,384.125,13639,5,97.219
1618829451.23673,383.9375,13665,5,97.387
1618829453.87836,383.75,13691,5,97.536
1618829456.52844,383.625,13718,5,97.756
1618829459.18305,383.4375,13745,5,97.896
1618829461.90385,383.25,13771,5,98.119
1618829467.20931,382.875,13824,5,98.432
1618829469.84644,382.75,13850,5,98.621
1618829472.51202,382.5625,13876,5,98.789
1618829475.1589,382.4375,13902,5,98.963
1618829477.8192,382.25,13929,5,99.158
1618829480.52509,382.0625,13956,5,99.367
1618829483.20857,381.875,13982,5,99.509
1618829485.92341,381.75,14009,5,99.673
1618829488.58865,381.5,14036,5,99.867
1618829491.2401,381.375,14062,5,100.084
1618829496.52452,381.0625,14114,5,100.36
1618829499.17969,380.875,14140,5,100.599
